,name,place,description
0,andaman and nicobars,Havelock Island,"The island with beautiful white sandy beaches, rich coral reefs and lush green forest is no less than a paradise and is the most popular of the Andaman islands. You can reach the Havelock Island from Port Blair By Government Operated Ferries and Private Cruises. You can stay in resorts or in camping sites which you can reserve through the Tourist Information Center in the Directorate of Tourism at Port Blair.

Havelock Island has become a destination for honeymooners. The island has a lot of resorts by the beach to cater to the tourist, one of the most famous being the Symphony Palms Beach Resort located at Govindnagar Beach, Sea Shell Resort and Munjoh Ocean resort.  You will find many diving sites for scuba diving, the endemic birds in the islands make it a paradise for bird-watchers and watching the elephants working in the forest and bathing and swimming in the nearby sea is a special attraction."
1,andaman and nicobars,Scuba Diving in Andaman & Nicobar,"Andaman and Nicobar Islands is a popular spot for scuba diving among tourists. Most popular island among all the islands for the dives however, is Havelock Beach."
2,andaman and nicobars,Cellular Jail,"Built by the colonial British in 1896 to accomodate Indian prisoners, the Cellular Jail stands as a dark reminder of the British rule in India. Escape from this facility was impossible, due to its seperation from mainland and strict vigilance of British soldiers. Today, the Cellular Jail serves as a museum and depicts the Indian Freedom Struggle in all of its brutality.

The jail had seven large wings in the original construction blueprint, with an alarm bell in the central to raise alert. But two wings were demolished after India achieved Independence. Today it is considered as a National Memorial with tourists coming in from all over the world to visit this gargantuan jail. The jail houses numerous galleries with pictures of famous figures of the Indian Freedom struggle. Several life size models of jailers torturing the inmates represent the hardships of an inmate's life. The entry fee is Rs.30 per head with extra charges for camera. The Light and Sound show, which is regularly hosted at evenings, is well known."
3,andaman and nicobars,"Snorkeling, Elephant Beach","If you are visiting Andamans then snorkeling at Elephant beach must be one of the top things on your list. You can reach Elephant beach by small cruise boat from Havelock Island in about 40 minutes. You can also take road and once you reach Forest Camp (8 km from Havelock Jetty) you will have to walk for around 40 minutes to reach Elephant beach.

Upon reaching the destination the boat representatives will help you to start your water activities after giving you some tips about how the snorkel equipment is used. The destination offers beautiful white sand beach along with an amazing coral reef which starts at a depth less than a meter and everyone from age 7-70 can explore this underwater beauty. Expert divers will be with you all the time to make sure you are comfortable. After completing the experience you may spend some time on the beach and then board back the boat to the Havelock dock."
4,andaman and nicobars,Jolly Buoy Island,"Defined by its clear beaches and beatiful underwater corals, the Jolly Buot Island is a joy to visit. Virtually untouched by man, this island has no inhabitants. Tourists are supposed to carry their required items. Since this is a No Plastic Zone, visitors are prohibhited from carring any plastic items. The ferry ships reach and depart Jolly Buoy Island together.

The waters of the beach are crystal clear, providing good visibility of the depths to the naked eye. The sand is golden in colour and the contrast of it the deep blue water makes up an exquisite image. Scuba Diving and Snorkelling are immensely popular here due to extoic species of fish and corals. The glass-bottom boat rides are also popular for people who want to view the corals without geting into the water. The Island is covered with thick forest cover, majority of which is virgin and unexplored. Note that the Jolly Buoy Island is not open for tourists for throughout the year."
5,andaman and nicobars,"Undersea Walk, North Bay Island","Going for an underwater tour inside the reef, seeing fishes passing by without getting interrupted, walking between corals, and discovering the rich sea life underwater in the crystal clear blue water of the lagoon, sounds awesome? You can experience sea walk in North Bay Island where you can reach by a boat from Andaman Water sports complex.

You do not need to know swimming to do sea walk. You will be provided an apparatus just like a transparent helmet which will save you from water pressure and you will also get to see the beautiful life around. You will breath normally inside that helmet and the oxygen will provided from a cylinder that you will carry with yourself. You will feel out of the world while walking inside the water. Experts divers will be with you for your safety and you can also ask them to click your pictures."
6,andaman and nicobars,Ross Island,"Ross Island is 15 minutes ferry ride away from Port Blair. This beautiful and peaceful island is full of historic structures and attracts huge number of tourists and historians which at the first sight seems like a abandoned place. You will be mesmerized by the scenic beauty and greeted by deer and peacocks and rabbits. The food here regional influence and hence a must try.

You can see remnants of an opulent past in the ruins of the church, swimming pool and the chief commissioner&#39;s residence with its huge gardens and grand ballrooms which were home to Britishers for 80 years. And now Indian Navy manage a cemetery and a small museum. You can enjoy a quaint walk and some quality time with your loved ones. If you want to enjoy more time on this island than usually planned by the ferry drivers, ask them to pick you up while going back to Port Blair from North Bay Island."
7,andaman and nicobars,Jet Ski in Port Blair,"Jet Skiing is the world's ultimate water sports machine. Every child and adult dreams of riding a jet ski and we are proud to bring you the experience in the water of Andaman Islands. It is the most popular activity in Port Blair. You can enjoy the water sports adventure while riding through the waves in Bay of Bengal.

You do not need training for jet skiing and you will find many experienced operators offering you the ride. The pilots of the Jet Skie are thoroughly experienced, very friendly and helpful and the utmost care is taken regarding the safety of the tourists by the way of providing life jackets. They will take care of your safety and will ensure that you have fun."
8,andaman and nicobars,Elephant Beach,"One of the most visited beaches in the Andaman and Nicobar Islands, the Elephant Beach is beautiful stretch of golden sand that meets with the turquoise blue waters on the Havelock Island. To reach here, you either take a ferry from the Havelock Docks or you can trek through the forest, both providing a unique sense of excitement.

Elephant Beach is adorned with fallen tree trunks, and mangrove forests. There are many activities one can enjoy on the beach including snorkelling, kayaking and the most sought after sea walking. Just plunge to the depths of the ocean and experience underwater marine life in all its glory. Many exotic species of fishes and coral reefs reside here. The glass bottom boat rides are also a popular way of viewing the coral reefs. Or you can just laze around on the beach, admiring the landscape before you. Sunrises and sunsets can be viewed from this beach. This is a destination that must be necessarily visited or one may miss out on one of the finest beaches in the world."
9,andaman and nicobars,Banana Ride in Havelock Island,"The six person people mover caters for all ages, ideal for whole family enjoyment - 30 minutes on the banana is must do entertainment - you have to  be gentle or hang on tight for the ride of your life. Banana boat rides are safe and monitored by an experienced and professional staff. You'll get supply life jackets that comfortably fit kids as well. 

The tube boat in the shape of a banana that has a capacity of 6 people and is tied to a driver powered boat to gain rush. During the ride, the driver tries to flip it a little by taking sharp turns to make it more thrilling and exciting. You will be provided the life jackets and monitored by skilled and experienced drivers to make your ride safe."
10,andaman and nicobars,Wandoor Beach,"Wandoor beach is one of the best beaches in Port Blair. It takes a 40-50 min ride by a bus or a car to reach there from Port Blair. The beach offer soothing ambiance to chill and spend quality time and thus is one of major attraction in Andamans. And if are more into adventures then a short trek in the morning to the natural caves here is just the thing for you.

You can get a bus every hour to reach there but if you are planning to visit Jolly buoy or Red Skin then make sure to reach the beach before 9 am as all the boats leave Wandoor by 9 am. The beach is ideal for swimming and coral sighting. There are benches for visitor to sit back relaxing, and changing rooms for the convenience. You can also visit Mahatma Gandhi National Marine Park which is actually a museum."
11,andaman and nicobars,"Parasailing, Havelock Island","You can reach the Havelock Island from Port Blair By Government Operated Ferries and Private Cruises. You can stay in resorts or in camping sites which you can reserve through the Tourist Information Center in the Directorate of Tourism at Port Blair. Parasailing is an amazing casual activity to do here which takes you far away from the coast to the beautiful view of the calm waters and the horizon.

Parasailing is an entertaining activity which is perfect blend of water and air borne adventure. You will be towed behind a boat, while attached to a canopy and as the boat accelerates across in the water, it will lift you high in the air and you will fly like a kite. Here the driver of the boat is the only controller and you can even ask him to throw you into water and again pick you up to the heights for more adventure.


Note: This activity is temporarily closed. Please try other activities like the banana ride, Jet Ski, Scuba diving, Snorkeling, Underwater walk till this activity reopen again."
