,name,photo_link,description,budget
0,andaman and nicobars,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1451594282/location/andaman-and-nicobars_uz3bwd.jpg","Andaman & Nicobar is one the incredible destinations that “incredible !ndia” offers. Fabled among travellers for its legendary beaches, world-class diving, and far-flung location in the middle of nowhere make Andamans an ideal location to get away from anything that just can’t be Andamans.Its lovely opaque emerald waters are surrounded by primeval jungle and mangrove forest, and snow-white beaches that melt under flame-and-purple sunsets. If you are going for a short trip, visit Port Blair, stay in beach resorts and enjoy amazing water activities at Havelock Island, relax in less crowded, open space of Neil Island. If you are planning a longer stay then visit Baratang Island and Rangat in Middle Andamans, and check out turtle nesting grounds and twin island Ross and Smith in North Andamans.",16900.0
1,srinagar,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1459189622/location/srinagar-in-kashmir_zggq0m.jpg","Lying on the banks of River Jhelum with profound and hypnotizing valleys fell in sky scratching mountains and evergreen excellence, Srinagar mixes together the tints of nature, magnificence, amicability and romance. Profound and entrancing valleys fell in sky-scratching mountains and evergreen excellence, this paradise on Earth abandons you completely hypnotized.The Dal lake is among the most delightful and most prominent lakes in India and a Shikara ride there would be a life-changing background. Srinagar is additionally an imperative religious goal with the Hazratbal Mosque which cherishes 'Moi-e-Muqaddas' (the holy hair) of the prophet Mohammed. Surrounded by mountains for the audacious part to lakes for photoholics to shopping markets for the prodigals, Srinagar does not frustrate anybody.",13400.0
2,kutch,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1451598167/location/rann-of-kutch_gp4swc.jpg","Kutch, India’s wild west, is a geographic phenomenon. The flat, tortoise-shaped land (kachbo means tortoise in Gujarati), edged by the Gulf of Kachchh and Great and Little Ranns, is a seasonal island. Only on scattered ‘islands’ above the salt level is coarse grass which provides fodder for the region’s wildlife. With its notable mud architecture, a medley of craft traditions and exquisite apparel, this eminently colorful and culturally rich land has a wonderful handcrafted feel.",7490.0
3,gangtok,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1449137971/location/gangtok_f7rnbb.jpg","Gangtok, the capital of Sikkim, is an absolutely spectacular town. Its proximity to Darjeeling makes it a strong attraction to the tourists visiting Sikkim. Situated at an altitude of 5200 ft. on a forested terrain, the town offers a marvelous sight of the snow-capped Himalayan mountains, including Mt. Kangchenjunga.The cool temperature and weather of Gangtok, along with the numerous monasteries in its vicinity offer a calm and serenity which is a bliss for travellers. But even through the calm, the town hustles like any other, like the M.G. Marg, a vehicle-free stretch, housing the local shops, restaurants featuring delicious cuisines, and hotels offering a splendid view of the Himalayan skyline.",16990.0
4,rishikesh,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1450544187/location/rishikesh_fabifj.jpg","Looking for the most thrilling water sport of all, Then Rishikesh is a perfect place to plan your next trip. Rafting in the Ganges is a experience which can't be explained in words you can only feel the adrenaline rush by indulging yourself in this adventurous activity.

The river alongside is considered to be one of the holiest of all river in India and the city is renowned as a center for practicing yoga and meditation. Apart from River Rafting, Bungee Jumping in Rishikesh is the best in India.",5000.0
5,kathmandu,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1452453984/location/Kathmandu-Nepal_cskxpv.jpg","For some, venturing off a plane into Kathmandu is a pupil-dilating experience, a rush of sights, sounds, and notices that can rapidly prompt tactile over-burden. Whether you're barrelling through the activity stuck rear ways of the old town in a rickshaw, wondering about the medieval sanctuaries or evading trekking visits in the explorer region of Thamel, Kathmandu can be an inebriating, stunning and debilitating spot.  This unendingly intriguing, once in a while the maddening city has enough sights to keep you occupied for a week, yet make sure to leave its explorer comforts and investigate the 'genuine Nepal' before your time runs out.",44990.0
6,mount abu,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1449952018/location/9155208951_0f72bcba17_k_1_-min_jra0e6.jpg","Oasis in the deserted land of Rajasthan and posses the honor of being the only hill-station in Rajasthan as well as north-west India, The world famous tourist destination is known for its Delwara Jain temples and natural beauty world over, situated amidst lush green forested hills on the highest peak in the Aravali range is also the summer capital for the Indian state of Rajasthan, home to lakes, waterfalls and green forests, the hill retreat, has a very cool and soothing climate thanks to its rich flora covering the entire hillside that includes coniferous trees and flowering shrubs.Be mindful that if you arrive during Diwali (October or November), or the following two weeks, prices soar and the place is packed. Mt Abu also gets pretty busy from mid-May to mid-June, before the monsoon.",
7,lonar,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1452540037/location/Lonar_by2sbj.jpg","Lonar is a mesmerizingly beautiful place being famous for a crater that was formed over 50,000 years ago due to the collision of a meteorite on the surface of the region is also famous for its rich natural heritage. This 6,000 feet wide and 500 feet deep lake is, therefore, an important source of scientific research and educational importance.It is the only salt water lake in the basaltic rock in the world. The area is also surrounded by a lot of flora and fauna which makes the place even more beautiful. There is also a famous Gomukh temple located at the boundary of the lake where snakes and other animals like fox, mongoose, deers can be spotted. Daitya Sudan temple is famous for its architectural style as it reminds of the world famous Khajuraho temples.",28990.0
8,dubai,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1457212933/location/From-Burj-Khalifa-Dubai_dupjo1.jpg","Dubai is essentially a desert city with superb infrastructure, liberal policies (by regional standards), that became popular for its excellent tourist amenities. Dubai makes a great short break for shopping, partying, sunbathing, fine dining, sporting events, and even a few sinful pleasures. It is a city of superlatives: for the fastest, biggest, tallest, largest and highest, Dubai is the destination. It has the largest immigrant population in the world.",400000.0
9,chennai,"http://res.cloudinary.com/himanshujain/image/upload/w_640,h_480,fl_progressive,q_50/v1450644555/location/chennai_jt1q1b.jpg","A buzzing city located in the heart of Tamil Nadu is the captivating Chennai - a heritage of south India with rich historical significance, artistic expressions and inviting people. You will find surprises on every lane you turn with the urban touch to the large hearts of chennaities.This commercial hotspot is the capital of Tamil nadu and has endless attractions to entertain you. Beaches, shopping malls, restaurants, places of worship adorn the streets. A variety of slangs and languages can be heard as you wander along the roads. You can also enjoy yourself in the newly inaugurated metro trains running right through the heart of the city.",50000.0
