,Name,Link,Description,Price,Timing
0,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner",https://www.holidify.com/images/bgImages/MANALI.jpg," Nestled in between the snow-capped slopes of the Pir Panjal and the Dhauladhar ranges, Manali is one of the most popular hill stations in the country. With jaw-dropping views, lush green forests, sprawling meadows carpeted with flowers, gushing blue streams, a perpetual fairy-tale like mist lingering in the air, and a persistent fragrance of pines and freshness -  Manali has been blessed with extraordinary scenic beauty. From museums to temples, from quaint little hippie villages to bustling upscale streets, river adventures to trekking trails, Manali has ever a reason to be the tourist magnet it is, all year round.","6,250",  October to June 
1,"Ooty, Tamil Nadu - Queen of the Nilgiris",https://www.holidify.com/images/bgImages/OOTY.jpg," The Blue Mountains have always been shrouded in mysticism, and Ooty is no exception to that. For every mountain lover, the very idea of travelling to the city known as the Queen of the Hills holds an allure like no other. Once regarded as the summer headquarters of the East India Company (and for a very good reason), Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a very popular tourist destination for anyone looking for a picturesque place to relax and unwind. Ooty is nestled amidst the Nilgiri hills at an altitude of 2,240 meters above sea level and enjoys a favourable climate all year round. ",,  Throughout the year 
2,"Darjeeling, West Bengal - Queen of The Himalayas",https://www.holidify.com/images/bgImages/DARJEELING.jpg," Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestled amidst acres of lush green tea plantations, Darjeeling stands at the height of 2,050 meters above sea level, thus boasting of cool climes all year round. This scenic hill station is the perfect getaway for a romantic honeymoon and is just around 700 kilometres away from Kolkata.","8,375","  February to March, September to December "
3,"Leh Ladakh, Jammu & Kashmir",https://www.holidify.com/images/bgImages/LADAKH.jpg," A land like no other with superabundance of attractions to visit and phantasmagoric and fabulous landscapes, amazing people and culture, Ladakh is truly a heaven on Earth.","8,000",  Jun to Sep 
4,"Mussoorie, Uttarakhand - The queen of hill-stations",https://www.holidify.com/images/bgImages/MUSSOORIE.jpg," If your idea of the perfect holiday involves tranquil hills, untouched nature and a holiday experience that is unadulterated in the truest sense of the term, Mussoorie is the place you should be heading to. Nestled amidst the foothills of the Garhwal Himalayan ranges, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level, and has a cool, pleasant climate throughout the year. The pristine, natural beauty of Mussoorie makes it a very popular choice of holiday for honeymooners. If you want to enjoy the beautiful sight of the rolling green slopes juxtaposed with the snow-capped peaks of the Himalayas, Mussoorie is the place for you to be.","8,499",  September to June 
5,"Auli, Uttarakhand - The skiing destination of India",https://www.holidify.com/images/bgImages/AULI.jpg," Dotted with the apple orchards, old oaks and pine trees there is no dearth of natural beauty in Auli. Apart from skiing you can also go for numerous treks in the hills of Garhwal Himalayas and enjoy the spellbinding views of the snow-draped mountains. Auli is a popular hill resort in the Himalayan range dating back to 8th Century AD.",,  Throughout the year 
6,"Shimla, Himachal Pradesh - The Hill-Station with Rich Colonial History",https://www.holidify.com/images/bgImages/SHIMLA.jpg," Probably the most popular hill station in northern India, Shimla is the capital city of Himachal Pradesh famous for its Mall road, the Ridge, toy train etc. among honeymooners and families alike.","7,000",  October to June 
7,"Gangtok, Sikkim - The Gateway to Sikkim",https://www.holidify.com/images/cmsuploads/compressed/view-of-gangtok-from-ganesh-tok_20180226140858.jpg," Extremely alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital city of the Sikkim can also give you a spectacular view of Mt. Kanchenjunga, at a distant skyline. The pristine hill station nestled in mountains and clouds is also a base for a whole lot of trekkers to the Himalayan mountain ranges. The mesmerising prismatic beauty and the beautiful winding hill roads are even more breathtaking if seen from a bird's eye view in a cable car.","11,934",  Throughout the year 
8,"Srinagar, Jammu & Kashmir - The Paradise on Earth",https://www.holidify.com/images/bgImages/SRINAGAR.jpg," Famously known as ?Heaven on Earth?, Srinagar is every bit the epitome of paradise on earth. As picturesque as the most stunning painting to ever be painted, Srinagar, the capital of Jammu and Kashmir, lies on the banks of the Jhelum river, and has a cool, pleasant climate all year round, contributing to the perpetual influx of tourists visiting this city which offers a plethora of gorgeous scenic vistas.","4,514",  April to October 
9,"Mcleodganj, Himachal Pradesh - Land of His Holiness the Dalai Lama - Little Lhasa",https://www.holidify.com/images/bgImages/MCLEODGANJ.jpg," Mcleodganj is a hill station near Dharamshala, popular among trekkers. Its culture is a beautiful blend of Tibetan with some British influence.","10,000",  October to June 
