,Name,Place_name,Description,Link
0,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 1. Solang Valley,"A valley between the Beas Kund and the Solang village tends to be a favorite for all its visitors as well as the locals. Also known as the Snow point, the Solang valley is famous not only for the glaciers and snow-clad landscapes but also for the countless activities that one can enjoy here.",https://www.holidify.com/places/manali/solang-valley-sightseeing-2766.html
1,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 2. Rohtang Pass,"Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert like landscapes, Spiti and Lahaul, and is one itself. This vast snow desert is a landscape like only a few other and a view one should not miss, while here.",https://www.holidify.com/places/manali/rohtang-pass-sightseeing-2765.html
2,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 3. Adventure Activities in Manali,"Manali is the hub of adventure activities in Himachal Pradesh. From white river rafting to trekking opportunities to zorbing to horse-riding to skiing to paragliding, Manali has everything to offer.",https://www.holidify.com/places/manali/adventure-activities-sightseeing-2751.html
3,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 4. Beas Kund Trek,"The Beas Kund trek is a perfect weekend getaway trek with outstanding views of Pir Pinjal mountain ranges over the Beas river. let your soul get wooed by the spectacular meadows of Dhundi and Bakarthach and finally, the glacial lake at Beas Kund which is worth all the hiking.",https://www.holidify.com/places/manali/beas-kund-sightseeing-2752.html
4,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 5. Paragliding in Manali,"The hillside town of Manali is famous for paragliding. At 2050 metres above sea level, it is an ultimate location for the sport, with its beautiful green valleys, stark blue skies, and snow-capped mountain peaks. The picture-perfect valley boasts of ideal wind conditions for paragliding and is thron...",https://www.holidify.com/places/manali/paragliding-in-manali-sightseeing-8200.html
5,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 6. Hadimba Temple,"Hadimba temple, away from the hustle and bustle of city life, is a peaceful place surrounded by towering deodar trees. The temple is dedicated to Hidimba, the wife of Bhima, one of the five Pandava prince from the great Indian epic Mahabharata. The main attraction of the temple is the three day Hidi...",https://www.holidify.com/places/manali/hadimba-temple-sightseeing-2756.html
6,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 7. Skiing in Manali,"A major tourist spot of North India, Manali is known for its excellent skiing conditions with skiing enthusiasts visiting from all over the country. The undulating slopes of Solang Valley and Rohtang Pass offer a perfect terrain for amateurs to learn their first move while an ideal grounds for profe...",https://www.holidify.com/places/manali/skiing-in-manali-sightseeing-8213.html
7,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 8. Vashisht Baths,"While most temples will leave you spiritually rejuvenated, there are a few where you can take a dip into hot water springs and baths, which leave you refreshed and maybe even healthier.",https://www.holidify.com/places/manali/vashisht-baths-sightseeing-2769.html
8,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 9. Chandratal Baralacha Trek,"Chandratal Baralacha is a perfect trek destination steeped with all the right elements - nature's beauty and enough challenges to be thrilling and tranquillity. Perched at an altitude of 4,300 meters, Chandratal is one of the high altitude lakes in the Himalayan region. Located on the Samudra Platea...",https://www.holidify.com/places/manali/chandratal-baralacha-trek-sightseeing-8211.html
9,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 10. The Great Himalayan National Park,"The newest addition to the list of National parks in India, The Great Himalayan National Park is quickly becoming what the wildlife scene in the region is being identified with and defined by.",https://www.holidify.com/places/kullu/the-great-himalayan-national-park-sightseeing-2508.html
