,name,rating,image_link,packages,link,description,placeCodes,start,end,type
0,"Manali, Himachal Pradesh",4.5,https://www.holidify.com/images/bgImages/MANALI.jpg,6250.0,https://www.holidify.com/places/manali/," Nestled in between the snow-capped slopes of the Pir Panjal and the Dhauladhar ranges, Manali is one of the most popular hill stations in the country. With jaw-dropping views, lush green forests, sprawling meadows carpeted with flowers, gushing blue streams, a perpetual fairy-tale like mist lingering in the air, and a persistent fragrance of pines and freshness -  Manali has been blessed with extraordinary scenic beauty. From museums to temples, from quaint little hippie villages to bustling upscale streets, river adventures to trekking trails, Manali has ever a reason to be the tourist magnet it is, all year round. ",MANALI,10,6,hill
1,"Ooty, Tamil Nadu",4.1,https://www.holidify.com/images/bgImages/OOTY.jpg,7709.0,https://www.holidify.com/places/ooty/," The Blue Mountains have always been shrouded in mysticism, and Ooty is no exception to that. For every mountain lover, the very idea of travelling to the city known as the Queen of the Hills holds an allure like no other. Once regarded as the summer headquarters of the East India Company (and for a very good reason), Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a very popular tourist destination for anyone looking for a picturesque place to relax and unwind. Ooty is nestled amidst the Nilgiri hills at an altitude of 2,240 meters above sea level and enjoys a favourable climate all year round.  ",OOTY,1,12,hill
2,"Darjeeling, West Bengal",4.3,https://www.holidify.com/images/bgImages/DARJEELING.jpg,8375.0,https://www.holidify.com/places/darjeeling/," Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestled amidst acres of lush green tea plantations, Darjeeling stands at the height of 2,050 meters above sea level, thus boasting of cool climes all year round. This scenic hill station is the perfect getaway for a romantic honeymoon and is just around 700 kilometres away from Kolkata. ",DARJEELING,2,12,hill
3,"Leh Ladakh, Jammu & Kashmir",4.7,https://www.holidify.com/images/bgImages/LADAKH.jpg,8000.0,https://www.holidify.com/places/ladakh/," A land like no other with superabundance of attractions to visit and phantasmagoric and fabulous landscapes, amazing people and culture, Ladakh is truly a heaven on Earth. ",LADAKH,6,9,hill
4,"Mussoorie, Uttarakhand",3.8,https://www.holidify.com/images/bgImages/MUSSOORIE.jpg,8499.0,https://www.holidify.com/places/mussoorie/," If your idea of the perfect holiday involves tranquil hills, untouched nature and a holiday experience that is unadulterated in the truest sense of the term, Mussoorie is the place you should be heading to. Nestled amidst the foothills of the Garhwal Himalayan ranges, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level, and has a cool, pleasant climate throughout the year. The pristine, natural beauty of Mussoorie makes it a very popular choice of holiday for honeymooners. If you want to enjoy the beautiful sight of the rolling green slopes juxtaposed with the snow-capped peaks of the Himalayas, Mussoorie is the place for you to be. ",MUSSOORIE,9,6,hill
5,"Auli, Uttarakhand",4.0,https://www.holidify.com/images/bgImages/AULI.jpg,720.0,https://www.holidify.com/places/auli/," Dotted with the apple orchards, old oaks and pine trees there is no dearth of natural beauty in Auli. Apart from skiing you can also go for numerous treks in the hills of Garhwal Himalayas and enjoy the spellbinding views of the snow-draped mountains. Auli is a popular hill resort in the Himalayan range dating back to 8th Century AD. ",AULI,1,12,hill
6,"Shimla, Himachal Pradesh",4.2,https://www.holidify.com/images/bgImages/SHIMLA.jpg,7000.0,https://www.holidify.com/places/shimla/," Probably the most popular hill station in northern India, Shimla is the capital city of Himachal Pradesh famous for its Mall road, the Ridge, toy train etc. among honeymooners and families alike. ",SHIMLA,10,6,hill
7,"Gangtok, Sikkim",4.4,https://www.holidify.com/images/cmsuploads/compressed/view-of-gangtok-from-ganesh-tok_20180226140858.jpg,11934.0,https://www.holidify.com/places/gangtok/," Extremely alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital city of the Sikkim can also give you a spectacular view of Mt. Kanchenjunga, at a distant skyline. The pristine hill station nestled in mountains and clouds is also a base for a whole lot of trekkers to the Himalayan mountain ranges. The mesmerising prismatic beauty and the beautiful winding hill roads are even more breathtaking if seen from a bird's eye view in a cable car. ",GANGTOK,1,12,hill
8,"Srinagar, Jammu & Kashmir",4.5,https://www.holidify.com/images/bgImages/SRINAGAR.jpg,4514.0,https://www.holidify.com/places/srinagar/," Famously known as ?Heaven on Earth?, Srinagar is every bit the epitome of paradise on earth. As picturesque as the most stunning painting to ever be painted, Srinagar, the capital of Jammu and Kashmir, lies on the banks of the Jhelum river, and has a cool, pleasant climate all year round, contributing to the perpetual influx of tourists visiting this city which offers a plethora of gorgeous scenic vistas. ",SRINAGAR,4,10,hill
9,"Mcleodganj, Himachal Pradesh",4.3,https://www.holidify.com/images/bgImages/MCLEODGANJ.jpg,10000.0,https://www.holidify.com/places/mcleodganj/," Mcleodganj is a hill station near Dharamshala, popular among trekkers. Its culture is a beautiful blend of Tibetan with some British influence. ",MCLEODGANJ,10,6,hill
10,"Kodaikanal, Tamil Nadu",4.4,https://www.holidify.com/images/bgImages/KODAIKANAL.jpg,7709.0,https://www.holidify.com/places/kodaikanal/," Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. When you think of Kodaikanal, you think of a wonderful climate, cliffs covered in mist, cloud-capped mountains and beautiful lakes and valleys, and once you visit this hill station, you will find that every bit of what you have imagined it to be is true. Nestled amidst the rolling slopes of the Palani Hills in Tamil Nadu, Kodaikanal stands at an altitude of 7200 feet above sea level and has a cool, pleasant climate all year round. Kodaikanal means the gift of the forests. ",KODAIKANAL,9,5,hill
11,"Munnar, Kerala",4.5,https://www.holidify.com/images/bgImages/MUNNAR.jpg,4498.0,https://www.holidify.com/places/munnar/," The idyllic hill station Munnar - famous for its tea estates, exotic lush greenery and craggy peaks, is located in the Western Ghats, in the state of Kerala. It serves as the commercial centre for some of the world's largest tea estates. In addition, Munnar has many protected areas which are home to endemic and highly endangered species like the Nilgiri Thar and the Neelakurinji. ",MUNNAR,9,5,hill
